VariableName,Value,ValueLabel
State abbreviation (HD2014),AL,Alabama
State abbreviation (HD2014),AK,Alaska
State abbreviation (HD2014),AZ,Arizona
State abbreviation (HD2014),AR,Arkansas
State abbreviation (HD2014),CA,California
State abbreviation (HD2014),CO,Colorado
State abbreviation (HD2014),CT,Connecticut
State abbreviation (HD2014),DE,Delaware
State abbreviation (HD2014),DC,District of Columbia
State abbreviation (HD2014),FL,Florida
State abbreviation (HD2014),GA,Georgia
State abbreviation (HD2014),HI,Hawaii
State abbreviation (HD2014),ID,Idaho
State abbreviation (HD2014),IL,Illinois
State abbreviation (HD2014),IN,Indiana
State abbreviation (HD2014),IA,Iowa
State abbreviation (HD2014),KS,Kansas
State abbreviation (HD2014),KY,Kentucky
State abbreviation (HD2014),LA,Louisiana
State abbreviation (HD2014),ME,Maine
State abbreviation (HD2014),MD,Maryland
State abbreviation (HD2014),MA,Massachusetts
State abbreviation (HD2014),MI,Michigan
State abbreviation (HD2014),MN,Minnesota
State abbreviation (HD2014),MS,Mississippi
State abbreviation (HD2014),MO,Missouri
State abbreviation (HD2014),MT,Montana
State abbreviation (HD2014),NE,Nebraska
State abbreviation (HD2014),NV,Nevada
State abbreviation (HD2014),NH,New Hampshire
State abbreviation (HD2014),NJ,New Jersey
State abbreviation (HD2014),NM,New Mexico
State abbreviation (HD2014),NY,New York
State abbreviation (HD2014),NC,North Carolina
State abbreviation (HD2014),ND,North Dakota
State abbreviation (HD2014),OH,Ohio
State abbreviation (HD2014),OK,Oklahoma
State abbreviation (HD2014),OR,Oregon
State abbreviation (HD2014),PA,Pennsylvania
State abbreviation (HD2014),RI,Rhode Island
State abbreviation (HD2014),SC,South Carolina
State abbreviation (HD2014),SD,South Dakota
State abbreviation (HD2014),TN,Tennessee
State abbreviation (HD2014),TX,Texas
State abbreviation (HD2014),UT,Utah
State abbreviation (HD2014),VT,Vermont
State abbreviation (HD2014),VA,Virginia
State abbreviation (HD2014),WA,Washington
State abbreviation (HD2014),WV,West Virginia
State abbreviation (HD2014),WI,Wisconsin
State abbreviation (HD2014),WY,Wyoming
Geographic region (HD2014),0,US Service schools
Geographic region (HD2014),1,New England CT ME MA NH RI VT
Geographic region (HD2014),2,Mid East DE DC MD NJ NY PA
Geographic region (HD2014),3,Great Lakes IL IN MI OH WI
Geographic region (HD2014),4,Plains IA KS MN MO NE ND SD
Geographic region (HD2014),5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV
Geographic region (HD2014),6,Southwest AZ NM OK TX
Geographic region (HD2014),7,Rocky Mountains CO ID MT UT WY
Geographic region (HD2014),8,Far West AK CA HI NV OR WA
Sector of institution (HD2014),0,Administrative Unit
Sector of institution (HD2014),1,"Public, 4-year or above"
Sector of institution (HD2014),2,"Private not-for-profit, 4-year or above"
Sector of institution (HD2014),3,"Private for-profit, 4-year or above"
Sector of institution (HD2014),4,"Public, 2-year"
Sector of institution (HD2014),5,"Private not-for-profit, 2-year"
Sector of institution (HD2014),6,"Private for-profit, 2-year"
Sector of institution (HD2014),7,"Public, less-than 2-year"
Sector of institution (HD2014),8,"Private not-for-profit, less-than 2-year"
Sector of institution (HD2014),9,"Private for-profit, less-than 2-year"
Sector of institution (HD2014),99,Sector unknown (not active)
Level of institution (HD2014),1,Four or more years
Level of institution (HD2014),2,At least 2 but less than 4 years
Level of institution (HD2014),3,Less than 2 years (below associate)
Level of institution (HD2014),-3,{Not available}
Control of institution (HD2014),1,Public
Control of institution (HD2014),2,Private not-for-profit
Control of institution (HD2014),3,Private for-profit
Control of institution (HD2014),-3,{Not available}
State abbreviation (HD2013),AL,Alabama
State abbreviation (HD2013),AK,Alaska
State abbreviation (HD2013),AZ,Arizona
State abbreviation (HD2013),AR,Arkansas
State abbreviation (HD2013),CA,California
State abbreviation (HD2013),CO,Colorado
State abbreviation (HD2013),CT,Connecticut
State abbreviation (HD2013),DE,Delaware
State abbreviation (HD2013),DC,District of Columbia
State abbreviation (HD2013),FL,Florida
State abbreviation (HD2013),GA,Georgia
State abbreviation (HD2013),HI,Hawaii
State abbreviation (HD2013),ID,Idaho
State abbreviation (HD2013),IL,Illinois
State abbreviation (HD2013),IN,Indiana
State abbreviation (HD2013),IA,Iowa
State abbreviation (HD2013),KS,Kansas
State abbreviation (HD2013),KY,Kentucky
State abbreviation (HD2013),LA,Louisiana
State abbreviation (HD2013),ME,Maine
State abbreviation (HD2013),MD,Maryland
State abbreviation (HD2013),MA,Massachusetts
State abbreviation (HD2013),MI,Michigan
State abbreviation (HD2013),MN,Minnesota
State abbreviation (HD2013),MS,Mississippi
State abbreviation (HD2013),MO,Missouri
State abbreviation (HD2013),MT,Montana
State abbreviation (HD2013),NE,Nebraska
State abbreviation (HD2013),NV,Nevada
State abbreviation (HD2013),NH,New Hampshire
State abbreviation (HD2013),NJ,New Jersey
State abbreviation (HD2013),NM,New Mexico
State abbreviation (HD2013),NY,New York
State abbreviation (HD2013),NC,North Carolina
State abbreviation (HD2013),ND,North Dakota
State abbreviation (HD2013),OH,Ohio
State abbreviation (HD2013),OK,Oklahoma
State abbreviation (HD2013),OR,Oregon
State abbreviation (HD2013),PA,Pennsylvania
State abbreviation (HD2013),RI,Rhode Island
State abbreviation (HD2013),SC,South Carolina
State abbreviation (HD2013),SD,South Dakota
State abbreviation (HD2013),TN,Tennessee
State abbreviation (HD2013),TX,Texas
State abbreviation (HD2013),UT,Utah
State abbreviation (HD2013),VT,Vermont
State abbreviation (HD2013),VA,Virginia
State abbreviation (HD2013),WA,Washington
State abbreviation (HD2013),WV,West Virginia
State abbreviation (HD2013),WI,Wisconsin
State abbreviation (HD2013),WY,Wyoming
Geographic region (HD2013),0,US Service schools
Geographic region (HD2013),1,New England CT ME MA NH RI VT
Geographic region (HD2013),2,Mid East DE DC MD NJ NY PA
Geographic region (HD2013),3,Great Lakes IL IN MI OH WI
Geographic region (HD2013),4,Plains IA KS MN MO NE ND SD
Geographic region (HD2013),5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV
Geographic region (HD2013),6,Southwest AZ NM OK TX
Geographic region (HD2013),7,Rocky Mountains CO ID MT UT WY
Geographic region (HD2013),8,Far West AK CA HI NV OR WA
Sector of institution (HD2013),0,Administrative Unit
Sector of institution (HD2013),1,"Public, 4-year or above"
Sector of institution (HD2013),2,"Private not-for-profit, 4-year or above"
Sector of institution (HD2013),3,"Private for-profit, 4-year or above"
Sector of institution (HD2013),4,"Public, 2-year"
Sector of institution (HD2013),5,"Private not-for-profit, 2-year"
Sector of institution (HD2013),6,"Private for-profit, 2-year"
Sector of institution (HD2013),7,"Public, less-than 2-year"
Sector of institution (HD2013),8,"Private not-for-profit, less-than 2-year"
Sector of institution (HD2013),9,"Private for-profit, less-than 2-year"
Sector of institution (HD2013),99,Sector unknown (not active)
Level of institution (HD2013),1,Four or more years
Level of institution (HD2013),2,At least 2 but less than 4 years
Level of institution (HD2013),3,Less than 2 years (below associate)
Level of institution (HD2013),-3,{Not available}
Control of institution (HD2013),1,Public
Control of institution (HD2013),2,Private not-for-profit
Control of institution (HD2013),3,Private for-profit
Control of institution (HD2013),-3,{Not available}
State abbreviation (HD2012),AL,Alabama
State abbreviation (HD2012),AK,Alaska
State abbreviation (HD2012),AZ,Arizona
State abbreviation (HD2012),AR,Arkansas
State abbreviation (HD2012),CA,California
State abbreviation (HD2012),CO,Colorado
State abbreviation (HD2012),CT,Connecticut
State abbreviation (HD2012),DE,Delaware
State abbreviation (HD2012),DC,District of Columbia
State abbreviation (HD2012),FL,Florida
State abbreviation (HD2012),GA,Georgia
State abbreviation (HD2012),HI,Hawaii
State abbreviation (HD2012),ID,Idaho
